Neuron1,Neuron2,Type1,Type2,IndexSending,IndexReceiving
URAVL,URXR,flp-21,npr-1,48,82
URAVR,URXL,flp-21,npr-1,57,66
URAVR,URXR,flp-21,npr-1,57,82
URADL,VD01,flp-21,npr-1,29,188
URADL,VD10,flp-21,npr-1,29,256
URADL,VD11,flp-21,npr-1,29,262
URADL,VD12,flp-21,npr-1,29,267
URADL,VD13,flp-21,npr-1,29,274
URADL,VD02,flp-21,npr-1,29,189
URADL,VD03,flp-21,npr-1,29,198
URADL,VD04,flp-21,npr-1,29,204
URADL,VD05,flp-21,npr-1,29,211
URADL,VD06,flp-21,npr-1,29,221
URADL,VD07,flp-21,npr-1,29,226
URADL,VD08,flp-21,npr-1,29,237
URADL,VD09,flp-21,npr-1,29,247
URADR,VD01,flp-21,npr-1,38,188
URADR,VD10,flp-21,npr-1,38,256
URADR,VD11,flp-21,npr-1,38,262
URADR,VD12,flp-21,npr-1,38,267
URADR,VD13,flp-21,npr-1,38,274
URADR,VD02,flp-21,npr-1,38,189
URADR,VD03,flp-21,npr-1,38,198
URADR,VD04,flp-21,npr-1,38,204
URADR,VD05,flp-21,npr-1,38,211
URADR,VD06,flp-21,npr-1,38,221
URADR,VD07,flp-21,npr-1,38,226
URADR,VD08,flp-21,npr-1,38,237
URADR,VD09,flp-21,npr-1,38,247
URAVL,VD01,flp-21,npr-1,48,188
URAVL,VD10,flp-21,npr-1,48,256
URAVL,VD11,flp-21,npr-1,48,262
URAVL,VD12,flp-21,npr-1,48,267
URAVL,VD13,flp-21,npr-1,48,274
URAVL,VD02,flp-21,npr-1,48,189
URAVL,VD03,flp-21,npr-1,48,198
URAVL,VD04,flp-21,npr-1,48,204
URAVL,VD05,flp-21,npr-1,48,211
URAVL,VD06,flp-21,npr-1,48,221
URAVL,VD07,flp-21,npr-1,48,226
URAVL,VD08,flp-21,npr-1,48,237
URAVL,VD09,flp-21,npr-1,48,247
URAVR,VD01,flp-21,npr-1,57,188
URAVR,VD10,flp-21,npr-1,57,256
URAVR,VD11,flp-21,npr-1,57,262
URAVR,VD12,flp-21,npr-1,57,267
URAVR,VD13,flp-21,npr-1,57,274
URAVR,VD02,flp-21,npr-1,57,189
URAVR,VD03,flp-21,npr-1,57,198
URAVR,VD04,flp-21,npr-1,57,204
URAVR,VD05,flp-21,npr-1,57,211
URAVR,VD06,flp-21,npr-1,57,221
URAVR,VD07,flp-21,npr-1,57,226
URAVR,VD08,flp-21,npr-1,57,237
URAVR,VD09,flp-21,npr-1,57,247
URADL,AIAL,flp-21,npr-11,29,109
URADL,AIAR,flp-21,npr-11,29,134
URADR,AIAL,flp-21,npr-11,38,109
URADR,AIAR,flp-21,npr-11,38,134
URAVL,AIAL,flp-21,npr-11,48,109
URAVL,AIAR,flp-21,npr-11,48,134
URAVR,AIAL,flp-21,npr-11,57,109
URAVR,AIAR,flp-21,npr-11,57,134
URADL,AIYL,flp-21,npr-11,29,157
URADL,AIYR,flp-21,npr-11,29,154
URADR,AIYL,flp-21,npr-11,38,157
URADR,AIYR,flp-21,npr-11,38,154
URAVL,AIYL,flp-21,npr-11,48,157
URAVL,AIYR,flp-21,npr-11,48,154
URAVR,AIYL,flp-21,npr-11,57,157
URAVR,AIYR,flp-21,npr-11,57,154
URADL,ADFL,flp-21,npr-2,29,67
URADL,ADFR,flp-21,npr-2,29,83
URADR,ADFL,flp-21,npr-2,38,67
URADR,ADFR,flp-21,npr-2,38,83
URAVL,ADFL,flp-21,npr-2,48,67
URAVL,ADFR,flp-21,npr-2,48,83
URAVR,ADFL,flp-21,npr-2,57,67
URAVR,ADFR,flp-21,npr-2,57,83
URADL,AIZL,flp-21,npr-2,29,148
URADL,AIZR,flp-21,npr-2,29,149
URADR,AIZL,flp-21,npr-2,38,148
URADR,AIZR,flp-21,npr-2,38,149
URAVL,AIZL,flp-21,npr-2,48,148
URAVL,AIZR,flp-21,npr-2,48,149
URAVR,AIZL,flp-21,npr-2,57,148
URAVR,AIZR,flp-21,npr-2,57,149
URADL,ASHL,flp-21,npr-2,29,89
URADL,ASHR,flp-21,npr-2,29,90
URADR,ASHL,flp-21,npr-2,38,89
URADR,ASHR,flp-21,npr-2,38,90
URAVL,ASHL,flp-21,npr-2,48,89
